iter	Passed	Remaining
0	2	727
1	5	808
2	8	793
3	10	747
4	12	744
5	14	718
6	17	715
7	19	710
8	22	712
9	24	708
10	26	701
11	28	687
12	30	669
13	31	651
14	33	635
15	34	619
16	36	603
17	37	589
18	39	582
19	41	581
20	43	574
21	45	569
22	47	568
23	49	564
24	50	556
25	64	681
26	66	675
27	68	669
28	70	662
29	72	650
30	73	641
31	75	631
32	76	621
33	78	614
34	79	605
35	81	598
36	83	591
37	84	584
38	86	579
39	88	573
40	89	563
41	90	557
42	92	551
43	93	546
44	95	540
45	96	534
46	98	531
47	100	526
48	101	520
49	103	516
50	105	512
51	106	508
52	107	502
53	109	498
54	110	493
55	112	489
56	113	484
57	114	479
58	116	474
59	117	470
60	119	466
61	120	462
62	122	459
63	123	456
64	125	452
65	126	448
66	128	445
67	129	441
68	130	438
69	132	435
70	134	434
71	136	430
72	137	427
73	138	424
74	140	420
75	141	418
76	143	415
77	144	412
78	146	410
79	148	407
80	149	403
81	150	401
82	152	399
83	154	396
84	155	394
85	157	391
86	158	387
87	160	385
88	161	382
89	162	380
90	164	377
91	165	374
92	167	372
93	168	369
94	170	367
95	171	365
96	173	363
97	174	360
98	176	358
99	178	356
100	179	354
101	181	351
102	182	349
103	184	347
104	185	344
105	187	342
106	188	340
107	190	338
108	191	336
109	193	333
110	195	332
111	196	330
112	198	327
113	199	325
114	200	323
115	202	321
116	204	319
117	205	317
118	207	315
119	208	313
120	210	311
121	211	308
122	213	306
123	214	304
124	216	303
125	218	301
126	219	299
127	221	297
128	222	295
129	224	293
130	225	290
131	226	288
132	231	290
133	232	288
134	234	286
135	235	284
136	237	282
137	238	279
138	239	277
139	241	276
140	243	274
141	244	272
142	246	270
143	247	268
144	249	266
145	251	264
146	252	262
147	254	260
148	255	258
149	257	257
150	260	256
151	261	254
152	262	252
153	264	250
154	265	248
155	267	246
156	268	244
157	270	243
158	272	241
159	274	240
160	276	238
161	277	236
162	279	234
163	281	233
164	282	231
165	284	229
166	285	227
167	287	226
168	289	224
169	290	222
170	291	220
171	293	218
172	294	216
173	296	214
174	297	212
175	299	210
176	302	210
177	304	208
178	305	206
179	307	204
180	309	203
181	310	201
182	312	199
183	313	197
184	315	195
185	316	194
186	318	192
187	319	190
188	321	188
189	322	186
190	324	185
191	325	183
192	327	181
193	328	179
194	330	178
195	332	176
196	333	174
197	335	172
198	336	170
199	338	169
200	339	167
201	340	165
202	342	163
203	344	161
204	345	160
205	346	158
206	348	156
207	349	154
208	351	152
209	352	151
210	354	149
211	355	147
212	357	146
213	359	144
214	360	142
215	362	140
216	364	139
217	365	137
218	367	135
219	368	134
220	370	132
221	372	130
222	374	129
223	375	127
224	378	126
225	379	124
226	381	122
227	383	120
228	384	119
229	386	117
230	388	115
231	389	114
232	391	112
233	392	110
234	394	109
235	395	107
236	397	105
237	398	103
238	400	102
239	401	100
240	402	98
241	404	96
242	406	95
243	407	93
244	409	91
245	410	90
246	412	88
247	413	86
248	414	84
249	416	83
250	418	81
251	419	79
252	421	78
253	424	76
254	425	75
255	427	73
256	428	71
257	430	70
258	431	68
259	433	66
260	435	65
261	436	63
262	438	61
263	439	59
264	441	58
265	443	56
266	444	54
267	445	53
268	447	51
269	449	49
270	450	48
271	452	46
272	453	44
273	455	43
274	456	41
275	458	39
276	459	38
277	461	36
278	462	34
279	464	33
280	465	31
281	467	29
282	468	28
283	470	26
284	472	24
285	473	23
286	475	21
287	476	19
288	478	18
289	479	16
290	481	14
291	482	13
292	484	11
293	486	9
294	487	8
295	489	6
296	490	4
297	492	3
298	493	1
299	495	0
