client_key,label
"ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 LabSession/human-003",human
"ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 LabSession/human-004",human
"ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 LabSession/human-008",human
"ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 LabSession/human-012",human
"ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",human
"ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",human
"ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-006",human
"ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-007",human
ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0 LabSession/human-005,human
ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0 LabSession/human-009,human
ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0 LabSession/human-010,human
ip_ua:127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0 LabSession/human-011,human
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-001,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-002,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-003,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-004,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-005,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-006,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-007,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-008,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-009,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-010,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-011,bot
ip_ua:127.0.0.1|ResearchScraper-BFS/1.0 (+https://localhost/lab) LabSession/bot-bfs-012,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-001,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-002,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-003,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-004,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-005,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-006,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-007,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-008,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-009,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-010,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-011,bot
ip_ua:127.0.0.1|ResearchScraper-DFS/1.0 (+https://localhost/lab) LabSession/bot-dfs-012,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-001,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-002,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-003,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-004,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-005,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-006,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-007,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-008,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-009,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-010,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-011,bot
ip_ua:127.0.0.1|ResearchScraper-Linear/1.0 (+https://localhost/lab) LabSession/bot-linear-012,bot
