prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.7272727272727273,0.5075,0.845242914979757,50
3,roc_auc,0.9444444444444445,0.8186713286713287,1.0,50
3,pr_auc,0.9484126984126984,0.8671203796203796,1.0,50
5,f1,0.9230769230769231,0.8353070175438597,1.0,50
5,roc_auc,0.986111111111111,0.9427295362589481,1.0,50
5,pr_auc,0.9871794871794872,0.9518094405594405,1.0,50
10,f1,1.0,1.0,1.0,50
10,roc_auc,1.0,1.0,1.0,50
10,pr_auc,1.0,0.9999999999999998,1.0,50
15,f1,1.0,1.0,1.0,50
15,roc_auc,1.0,1.0,1.0,50
15,pr_auc,0.9999999999999999,0.9999999999999999,1.0,50
20,f1,1.0,1.0,1.0,50
20,roc_auc,1.0,1.0,1.0,34
20,pr_auc,1.0,0.9999999999999998,1.0,34
