prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.6666666666666666,0.5,0.8292682926829268,50
3,roc_auc,0.7916666666666666,0.5615646853146854,0.9533216783216782,50
3,pr_auc,0.7853821015585722,0.6509334415584416,0.9650274725274726,50
5,f1,0.7741935483870968,0.64,0.8947368421052632,50
5,roc_auc,0.875,0.7578011204481793,0.9754079254079254,50
5,pr_auc,0.884848484848485,0.7757208416583418,0.9820769760542487,50
10,f1,0.96,0.8739130434782608,1.0,50
10,roc_auc,1.0,1.0,1.0,50
10,pr_auc,1.0,1.0,1.0,50
15,f1,1.0,1.0,1.0,50
15,roc_auc,1.0,1.0,1.0,50
15,pr_auc,1.0,1.0,1.0,50
20,f1,1.0,1.0,1.0,50
20,roc_auc,1.0,1.0,1.0,34
20,pr_auc,1.0,1.0,1.0,34
