prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.8,0.6482142857142857,0.917876447876448,50
3,roc_auc,0.9375,0.7889285714285715,1.0,50
3,pr_auc,0.9164724164724165,0.8160037310378697,1.0,50
5,f1,0.8,0.6718390804597701,0.9428819444444444,50
5,roc_auc,0.8125,0.7026835317460317,0.949562937062937,50
5,pr_auc,0.8366732804232805,0.6916175528225644,0.9465225304998032,50
10,f1,0.96,0.8739130434782608,1.0,50
10,roc_auc,1.0,0.9999999999999999,1.0,50
10,pr_auc,1.0,1.0,1.0,50
15,f1,1.0,1.0,1.0,50
15,roc_auc,1.0,1.0,1.0,50
15,pr_auc,0.9999999999999999,0.9999999999999999,1.0,50
20,f1,1.0,1.0,1.0,50
20,roc_auc,1.0,1.0,1.0,34
20,pr_auc,1.0,0.9999999999999999,1.0,34
