prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.8275862068965517,0.6910044977511245,0.9571578947368421,50
3,roc_auc,1.0,1.0,1.0,50
3,pr_auc,1.0,1.0,1.0,50
5,f1,0.9230769230769231,0.8040909090909092,1.0,50
5,roc_auc,1.0,0.9999999999999999,1.0,50
5,pr_auc,1.0,1.0,1.0,50
10,f1,1.0,1.0,1.0,50
10,roc_auc,1.0,0.9999999999999999,1.0,50
10,pr_auc,1.0,1.0,1.0,50
15,f1,0.9523809523809523,0.8421052631578947,1.0,50
15,roc_auc,1.0,1.0,1.0,50
15,pr_auc,1.0,1.0,1.0,50
20,f1,1.0,1.0,1.0,50
20,roc_auc,1.0,1.0,1.0,34
20,pr_auc,1.0,1.0,1.0,34
