prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.8275862068965517,0.6930602006688963,0.9383403361344538,50
3,roc_auc,0.763888888888889,0.5575174825174826,0.9633133468094406,50
3,pr_auc,0.7213663243075008,0.516706667515491,0.9393951330532212,50
5,f1,0.9230769230769231,0.8353070175438597,1.0,50
5,roc_auc,0.9722222222222223,0.8953729603729603,1.0,50
5,pr_auc,0.9720279720279721,0.8894642289528654,1.0,50
10,f1,1.0,1.0,1.0,50
10,roc_auc,1.0,0.9999999999999999,1.0,50
10,pr_auc,1.0,0.9999999999999999,1.0,50
15,f1,1.0,1.0,1.0,50
15,roc_auc,1.0,1.0,1.0,50
15,pr_auc,1.0,1.0,1.0,50
20,f1,1.0,1.0,1.0,50
20,roc_auc,1.0,1.0,1.0,34
20,pr_auc,1.0,1.0,1.0,34
