prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.6666666666666666,0.5,0.8292682926829268,50
3,roc_auc,0.5833333333333333,0.2863636363636364,0.8169034090909091,50
3,pr_auc,0.5996732026143792,0.4428932178932179,0.8444707722832723,50
5,f1,0.75,0.5989144316730524,0.8947368421052632,50
5,roc_auc,0.875,0.6861188811188811,1.0,50
5,pr_auc,0.861492673992674,0.6906034779614326,1.0,50
10,f1,0.96,0.8739130434782608,1.0,50
10,roc_auc,1.0,0.9999999999999999,1.0,50
10,pr_auc,1.0,0.9999999999999999,1.0,50
15,f1,1.0,1.0,1.0,50
15,roc_auc,1.0,1.0,1.0,50
15,pr_auc,1.0,1.0,1.0,50
20,f1,1.0,1.0,1.0,50
20,roc_auc,1.0,1.0,1.0,34
20,pr_auc,1.0,1.0,1.0,34
