prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.7272727272727273,0.5645089285714285,0.8684981684981685,50
3,roc_auc,0.6805555555555556,0.3836663336663337,0.9127622377622376,50
3,pr_auc,0.6613970588235294,0.47865073529411767,0.9354382176317271,50
5,f1,0.75,0.5989144316730524,0.8947368421052632,50
5,roc_auc,0.9236111111111112,0.7692307692307692,1.0,50
5,pr_auc,0.9138269138269137,0.7487703741965106,1.0,50
10,f1,1.0,1.0,1.0,50
10,roc_auc,1.0,1.0,1.0,50
10,pr_auc,1.0,0.9999999999999999,1.0,50
15,f1,1.0,1.0,1.0,50
15,roc_auc,1.0,1.0,1.0,50
15,pr_auc,1.0,0.9999999999999999,1.0,50
20,f1,1.0,1.0,1.0,50
20,roc_auc,1.0,1.0,1.0,34
20,pr_auc,1.0,0.9999999999999999,1.0,34
