session_id,prefix_len,label,session_length_so_far,unique_nodes,unique_node_ratio,revisit_ratio,repeated_path_ratio,repeated_transition_ratio,backtrack_count,self_loop_ratio,mean_depth,leaf_visit_ratio,out_degree_mean,mean_hop_distance,far_jump_ratio,mean_delta_t,std_delta_t,burstiness,low_latency_ratio,error_rate,user_agent_switch_rate,category_switch_rate,transition_entropy,normalized_transition_entropy,category_entropy,normalized_category_entropy,node_entropy,normalized_node_entropy,navigation_entropy_score
sess_0268c88cfc23_000,3,human,3.0,2.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.0,7.666666666666667,1.0,0.0,6.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9182958340544896,0.9182958340544896,0.9182958340544896,0.9182958340544896,0.7336591668108979
sess_0268c88cfc23_000,5,human,5.0,4.0,0.8,0.19999999999999996,0.2,0.0,1.0,0.0,0.8,0.0,8.2,1.0,0.0,5.0,1.7320508075688772,-0.4854314511050558,0.0,0.0,0.0,0.75,2.0,1.0,1.5219280948873621,0.9602297178607612,1.9219280948873623,0.9609640474436811,0.7760027984616467
sess_0268c88cfc23_000,10,human,10.0,7.0,0.7,0.30000000000000004,0.3,0.0,3.0,0.0,1.8,0.0,6.4,1.0,0.0,5.777777777777778,1.987615979999813,-0.48808365885913385,0.0,0.0,0.0,0.4444444444444444,3.169925001442312,1.0,1.8464393446710154,0.9232196723355077,2.7219280948873625,0.969570350190125,0.7075022352478548
sess_05633bbe9f26_000,3,bot,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,10.666666666666666,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.584962500721156,1.0,1.584962500721156,1.0,0.9
sess_05633bbe9f26_000,5,bot,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,9.8,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.321928094887362,1.0,2.321928094887362,1.0,0.9
sess_05633bbe9f26_000,10,bot,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,8.1,1.0,0.0,0.5555555555555556,0.49690399499995325,-0.05572809000084126,1.0,0.0,0.0,0.5555555555555556,3.169925001442312,1.0,1.7709505944546688,0.7627069065377662,3.321928094887362,1.0,0.7803019056408025
sess_05633bbe9f26_000,15,bot,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,6.933333333333334,1.0,0.0,0.5714285714285714,0.4948716593053935,-0.07179676972449081,1.0,0.0,0.0,0.5714285714285714,3.8073549220576055,1.0000000000000004,1.822815600352516,0.7850439487623072,3.906890595608518,0.9999999999999998,0.7855433984942982
sess_05633bbe9f26_000,20,bot,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,6.25,1.0,0.0,0.5789473684210527,0.49372797471825575,-0.07944565356876061,1.0,0.0,0.0,0.42105263157894735,4.247927513443583,0.9999999999999996,1.6783898247235196,0.7228431528173309,4.321928094887363,1.0,0.7497819599434321
sess_05a5a13f3749_000,3,bot,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.666666666666667,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.9182958340544896,0.9182958340544896,1.584962500721156,1.0,0.7086591668108979
sess_05a5a13f3749_000,5,bot,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,7.2,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.5,2.0,1.0,1.3709505944546687,0.8649735207179273,2.321928094887362,1.0,0.6979947041435854
sess_05a5a13f3749_000,10,bot,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,8.6,1.0,0.0,1.1111111111111112,0.31426968052735443,-0.5590375815769153,0.8888888888888888,0.0,0.0,0.3333333333333333,3.169925001442312,1.0,1.8464393446710154,0.9232196723355077,3.321928094887362,1.0,0.72874017630941
sess_05a5a13f3749_000,15,bot,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.7333333333333334,0.0,7.0,1.0,0.0,1.2857142857142858,0.45175395145262565,-0.47998594530942496,0.7142857142857143,0.0,0.0,0.21428571428571427,3.8073549220576055,1.0000000000000004,1.5546097612655667,0.7773048806327834,3.906890595608518,0.9999999999999998,0.6896052387384715
sess_0ee9f9ba16dd_000,3,bot,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,10.666666666666666,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.584962500721156,1.0,1.584962500721156,1.0,0.9
sess_0ee9f9ba16dd_000,5,bot,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,9.8,1.0,0.0,0.75,0.4330127018922193,-0.26794919243112275,1.0,0.0,0.0,1.0,2.0,1.0,2.321928094887362,1.0,2.321928094887362,1.0,0.8732050807568877
sess_0ee9f9ba16dd_000,10,bot,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,8.1,1.0,0.0,0.6666666666666666,0.4714045207910317,-0.17157287525380988,1.0,0.0,0.0,0.5555555555555556,3.169925001442312,1.0,1.7709505944546688,0.7627069065377662,3.321928094887362,1.0,0.7687174271155056
sess_0ee9f9ba16dd_000,15,bot,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,6.933333333333334,1.0,0.0,0.6428571428571429,0.47915742374995496,-0.1458980337503155,1.0,0.0,0.0,0.42857142857142855,3.8073549220576055,1.0000000000000004,1.822815600352516,0.7850439487623072,3.906890595608518,0.9999999999999998,0.7567047006631442
sess_0ee9f9ba16dd_000,20,bot,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,6.25,1.0,0.0,0.631578947368421,0.48237638894272,-0.13393944403532798,1.0,0.0,0.0,0.3157894736842105,4.247927513443583,0.9999999999999996,1.6783898247235196,0.7228431528173309,4.321928094887363,1.0,0.7285431072125649
sess_15f5d7c55456_000,3,bot,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.666666666666667,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.9182958340544896,0.9182958340544896,1.584962500721156,1.0,0.7086591668108979
sess_15f5d7c55456_000,5,bot,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,9.8,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.5,2.0,1.0,1.3709505944546687,0.8649735207179273,2.321928094887362,1.0,0.6979947041435854
sess_15f5d7c55456_000,10,bot,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,7.6,1.0,0.0,0.7777777777777778,0.41573970964154905,-0.30333704529042343,1.0,0.0,0.0,0.5555555555555556,3.169925001442312,1.0,1.295461844238322,0.8173454221465103,3.321928094887362,1.0,0.7664687132335931
sess_15f5d7c55456_000,15,bot,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.7333333333333334,0.0,7.933333333333334,1.0,0.0,0.7142857142857143,0.45175395145262565,-0.22514822655441374,1.0,0.0,0.0,0.5714285714285714,3.8073549220576055,1.0000000000000004,1.272905595320056,0.8031140135750123,3.906890595608518,0.9999999999999998,0.7738222657738469
sess_15f5d7c55456_000,20,bot,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,7.3,1.0,0.0,0.7368421052631579,0.44034738238635557,-0.25186660770205427,1.0,0.0,0.0,0.47368421052631576,4.247927513443583,0.9999999999999996,1.1883763717345073,0.7497820113685955,4.321928094887363,1.0,0.7458223730824609
sess_171628aaa5de_000,3,human,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.666666666666667,1.0,0.0,3.5,0.5,-0.75,0.0,0.0,0.0,1.0,1.0,1.0,1.584962500721156,1.0,1.584962500721156,1.0,0.8250000000000001
sess_171628aaa5de_000,5,human,5.0,3.0,0.6,0.4,0.4,0.25,2.0,0.0,1.2,0.0,5.2,1.0,0.0,5.5,2.0615528128088303,-0.454727656119341,0.0,0.0,0.0,1.0,1.5,0.9463946303571862,1.5219280948873621,0.9602297178607612,1.5219280948873621,0.9602297178607612,0.770491567067374
sess_171628aaa5de_000,10,human,10.0,4.0,0.4,0.6,0.6,0.4444444444444444,6.0,0.0,1.3,0.0,6.6,1.0,0.0,5.111111111111111,1.5234788000891208,-0.5407466563932612,0.0,0.0,0.0,1.0,2.1971597234241496,0.946265187221801,1.8464393446710154,0.9232196723355077,1.8464393446710154,0.9232196723355077,0.7244488249943157
sess_171628aaa5de_000,15,human,15.0,6.0,0.4,0.6,0.6,0.42857142857142855,9.0,0.0,1.2666666666666666,0.0,9.2,1.0,0.0,5.5,1.679710859472121,-0.5320951240658681,0.0,0.0,0.0,0.7142857142857143,2.8962915290459277,0.9654305096819759,1.6894822670191827,0.8447411335095913,2.332914563979398,0.9024945481137767,0.6725107243427813
sess_1808b940f626_000,3,human,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.666666666666666,1.0,0.0,7.0,4.0,-0.2727272727272727,0.0,0.0,0.0,0.5,1.0,1.0,0.9182958340544896,0.9182958340544896,1.584962500721156,1.0,0.7813864395381707
sess_1808b940f626_000,5,human,5.0,4.0,0.8,0.19999999999999996,0.2,0.0,1.0,0.0,1.2,0.0,9.6,1.0,0.0,7.5,2.958039891549808,-0.43430319214216595,0.0,0.0,0.0,0.25,2.0,1.0,0.7219280948873623,0.7219280948873623,1.9219280948873623,0.9609640474436811,0.6584552997632558
sess_1808b940f626_000,10,human,10.0,8.0,0.8,0.19999999999999996,0.2,0.0,2.0,0.0,1.8,0.0,7.7,1.0,0.0,6.222222222222222,2.3465235646603197,-0.4523064114581405,0.0,0.0,0.0,0.3333333333333333,3.169925001442312,1.0,1.7219280948873623,0.8609640474436812,2.9219280948873623,0.9739760316291207,0.6969621683429222
sess_1808b940f626_000,15,human,15.0,10.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.14285714285714285,5.0,0.0,1.6666666666666667,0.0,9.933333333333334,1.0,0.0,5.714285714285714,2.1189138534559038,-0.4589914797570246,0.0,0.0,0.0,0.21428571428571427,3.521640636343319,0.9823368126263248,1.8062389286533893,0.9031194643266947,3.1898980954642875,0.9602550098461564,0.6615686458203911
sess_1ac1c0048e1e_000,3,human,3.0,2.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.0,7.666666666666667,1.0,0.0,6.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9182958340544896,0.9182958340544896,0.9182958340544896,0.9182958340544896,0.7336591668108979
