prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.9473684210526315,0.8235294117647058,1.0,300
3,roc_auc,0.5,0.21160714285714285,0.7527777777777777,197
3,pr_auc,0.9190476190476191,0.6875510204081633,0.9522222222222222,197
5,f1,0.9473684210526315,0.8235294117647058,1.0,300
5,roc_auc,0.0,0.0,0.0,197
5,pr_auc,0.7962962962962964,0.5570408163265306,0.8415784832451499,197
10,f1,1.0,1.0,1.0,300
10,roc_auc,,,,0
10,pr_auc,,,,0
15,f1,1.0,1.0,1.0,300
15,roc_auc,,,,0
15,pr_auc,,,,0
20,f1,1.0,1.0,1.0,300
20,roc_auc,,,,0
20,pr_auc,,,,0
