prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.75,0.46153846153846156,0.9473684210526315,300
3,roc_auc,0.3333333333333333,0.16428571428571428,0.5,197
3,pr_auc,0.8714285714285714,0.6142857142857143,0.8901234567901235,197
5,f1,0.75,0.46153846153846156,0.9473684210526315,300
5,roc_auc,0.4444444444444444,0.1111111111111111,0.7527777777777777,197
5,pr_auc,0.9349206349206349,0.7814285714285716,0.9675,197
10,f1,1.0,1.0,1.0,300
10,roc_auc,,,,0
10,pr_auc,,,,0
15,f1,1.0,1.0,1.0,300
15,roc_auc,,,,0
15,pr_auc,,,,0
20,f1,1.0,1.0,1.0,300
20,roc_auc,,,,0
20,pr_auc,,,,0
