prefix_len,metric,point_estimate,ci_low,ci_high,n_bootstrap
3,f1,0.75,0.46153846153846156,0.9473684210526315,300
3,roc_auc,0.6666666666666666,0.32857142857142857,1.0,197
3,pr_auc,0.9666666666666667,0.847857142857143,1.0,197
5,f1,0.9473684210526315,0.8235294117647058,1.0,300
5,roc_auc,0.0,0.0,0.0,197
5,pr_auc,0.7986772486772488,0.5697108843537415,0.8416666666666667,197
10,f1,1.0,1.0,1.0,300
10,roc_auc,,,,0
10,pr_auc,,,,0
15,f1,1.0,1.0,1.0,300
15,roc_auc,,,,0
15,pr_auc,,,,0
20,f1,1.0,1.0,1.0,300
20,roc_auc,,,,0
20,pr_auc,,,,0
