path,category
/index.html,index.html
/faq.html,faq.html
/articles.html,articles.html
/contact.html,contact.html
/about.html,about.html
/products.html,products.html
/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,pages
/pages/articles/designing-websites-for-behavioral-security-research.html,pages
/cart.html,cart.html
/pages/articles/honeypots-in-modern-web-applications.html,pages
/pages/products/hydra-node-x.html,pages
/pages/products/puremesh-filter.html,pages
/pages/products/flow-guard-mini.html,pages
/pages/products/aqua-sense-pro.html,pages
/hidden/diagnostic-offer.html,hidden
/pages/products/river-vision-cam.html,pages
/,home
