source,target,weight
/,/blog,104
/,/products,131
/,/support,29
/,/about,28
/,/support/contact,2
/,/support/faq-5,2
/,/products/category-3/item-4,2
/,/products/category-2/item-7,2
/blog,/blog/post-1,77
/blog,/support/contact,3
/blog,/blog/post-3,6
/blog,/blog/post-7,6
/blog,/blog/post-5,10
/blog,/blog/post-2,4
/blog,/blog/post-6,6
/blog,/,2
/blog,/blog/post-9,8
/blog,/products/category-6/item-6,2
/blog,/blog/post-8,2
/blog,/blog/post-4,4
/blog,/products,13
/blog,/support,23
/blog,/about,4
/blog/post-1,/blog/post-2,97
/blog/post-1,/products/category-2,6
/blog/post-1,/blog,6
/blog/post-1,/products/category-1/item-1,4
/blog/post-1,/products/category-6,10
/blog/post-1,/products/category-5,1
/blog/post-2,/blog/post-3,106
/blog/post-2,/products/category-3,6
/blog/post-2,/about/careers,2
/blog/post-2,/products/category-4/item-5,2
/blog/post-3,/blog/post-4,108
/blog/post-3,/products/category-4,2
/blog/post-3,/blog,2
/blog/post-4,/blog/post-5,106
/blog/post-4,/products/category-5,4
/blog/post-4,/blog,2
/blog/post-5,/blog/post-6,108
/blog/post-5,/products/category-6,6
/blog/post-5,/blog,2
/blog/post-6,/blog/post-7,86
/blog/post-6,/products/category-1,6
/blog/post-6,/blog/post-5,2
/blog/post-6,/products/category-4/item-4,2
/blog/post-6,/blog,4
/products,/products/category-1,84
/products,/products/category-4,4
/products,/products/category-2,6
/products,/products/category-3,6
/products,/products/category-5,8
/products,/support,9
/products,/blog,27
/products,/about,4
/products,/,6
/products/category-1,/products/category-1/item-1,74
/products/category-1,/products/category-1/item-5,12
/products/category-1,/products/category-1/item-2,4
/products/category-1,/products/category-1/item-3,6
/products/category-1,/products/category-1/item-7,4
/products/category-1,/products/category-2,40
/products/category-1/item-1,/support/contact,8
/products/category-1/item-1,/support/faq-3,65
/products/category-1/item-1,/blog/post-1,4
/products/category-1/item-1,/products/category-1/item-2,13
/support/contact,/support/faq-3,11
/support/contact,/blog,17
/support/contact,/blog/post-1,3
/support/contact,/support,7
/support/contact,/support/faq-1,26
/support/contact,/about,6
/support/contact,/products,4
/support/contact,/products/category-3,2
/support/contact,/support/faq-5,36
/support/contact,/about/careers,68
/support/contact,/products/category-2/item-5,2
/support/contact,/support/faq-2,42
/support/contact,/,2
/support/contact,/about/team,4
/support/contact,/support/faq-6,8
/support/contact,/products/category-1/item-6,2
/support/contact,/products/category-4/item-4,2
/support/contact,/products/category-5/item-7,2
/support/contact,/support/faq-4,19
/support/contact,/support/contact,1
/support/contact,/products/category-1/item-2,26
/support/contact,/blog/post-7,4
/support/faq-3,/blog,5
/support/faq-3,/support/contact,59
/support/faq-3,/products,2
