session_id,label,client_key,ip,num_events,duration_seconds,unique_paths,unique_path_ratio,mean_delta_t,page_categories,user_agent,manual_label,suspicious_user_agent,weak_bot_score,proposed_label
sess_8ff89f2c3e59_000,unknown,ip_ua:203.0.113.100|python-requests/2.x,203.0.113.100,8,2.0,8,1.0,0.2857142857142857,2,python-requests/2.x,bot,True,0.85,bot
sess_1d1d7c3ae8dd_000,unknown,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,16,19.0,16,1.0,1.2666666666666666,4,stealth-browser/1.0,bot,False,0.1,bot
sess_45fd4ca3b161_000,unknown,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,17,22.0,17,1.0,1.375,4,stealth-browser/1.0,bot,False,0.1,bot
sess_c0ba70008ddc_000,unknown,ip_ua:203.0.113.103|python-requests/2.x,203.0.113.103,14,17.0,14,1.0,1.3076923076923077,4,python-requests/2.x,bot,True,0.65,bot
sess_3938c445f791_000,unknown,ip_ua:203.0.113.104|python-requests/2.x,203.0.113.104,14,18.0,13,0.9285714285714286,1.3846153846153846,4,python-requests/2.x,bot,True,0.65,bot
sess_bc4ee6516d47_000,unknown,ip_ua:203.0.113.105|stealth-browser/1.0,203.0.113.105,14,17.0,14,1.0,1.3076923076923077,4,stealth-browser/1.0,bot,False,0.1,bot
sess_6d7ca6b04fcc_000,unknown,ip_ua:203.0.113.106|stealth-browser/1.0,203.0.113.106,13,15.0,13,1.0,1.25,4,stealth-browser/1.0,bot,False,0.1,bot
sess_4b0f186bc1a4_000,unknown,ip_ua:203.0.113.107|stealth-browser/1.0,203.0.113.107,17,24.0,15,0.8823529411764706,1.5,5,stealth-browser/1.0,bot,False,0.0,bot
sess_cc3491149319_000,unknown,ip_ua:203.0.113.108|stealth-browser/1.0,203.0.113.108,12,12.0,12,1.0,1.0909090909090908,4,stealth-browser/1.0,bot,False,0.1,bot
sess_b97aa6c6dec8_000,unknown,ip_ua:203.0.113.109|stealth-browser/1.0,203.0.113.109,14,18.0,10,0.7142857142857143,1.3846153846153846,5,stealth-browser/1.0,bot,False,0.0,bot
sess_ff0c0ed70fa4_000,unknown,ip_ua:203.0.113.10|Mozilla/5.0,203.0.113.10,22,103.0,13,0.5909090909090909,4.904761904761905,4,Mozilla/5.0,human,False,0.1,human
sess_e3885408776b_000,unknown,ip_ua:203.0.113.110|python-requests/2.x,203.0.113.110,17,21.0,17,1.0,1.3125,4,python-requests/2.x,bot,True,0.65,bot
sess_4039ae17461f_000,unknown,ip_ua:203.0.113.111|python-requests/2.x,203.0.113.111,26,29.0,21,0.8076923076923077,1.16,5,python-requests/2.x,bot,True,0.65,bot
