source,target
/,/products
/,/blog
/,/support
/,/about
/products,/products/category-1
/products,/products/category-2
/products,/products/category-3
/products,/products/category-4
/products,/products/category-5
/products,/products/category-6
/blog,/blog/post-1
/blog,/blog/post-2
/blog,/blog/post-3
/blog,/blog/post-4
/blog,/blog/post-5
/blog,/blog/post-6
/blog,/blog/post-7
/blog,/blog/post-8
/blog,/blog/post-9
/support,/support/faq-1
/support,/support/faq-2
/support,/support/faq-3
/support,/support/faq-4
/support,/support/faq-5
/support,/support/faq-6
/about,/about/team
/about,/about/careers
/products/category-1,/products/category-1/item-1
/products/category-1,/products/category-1/item-2
/products/category-1,/products/category-1/item-3
/products/category-1,/products/category-1/item-4
/products/category-1,/products/category-1/item-5
/products/category-1,/products/category-1/item-6
/products/category-1,/products/category-1/item-7
/products/category-1/item-1,/support/faq-3
/support/faq-3,/support/contact
/products/category-1/item-2,/support/faq-4
/support/faq-4,/support/contact
/products/category-1/item-3,/support/faq-5
/support/faq-5,/support/contact
/products/category-1/item-4,/support/faq-6
/support/faq-6,/support/contact
/products/category-1/item-5,/support/faq-1
/support/faq-1,/support/contact
/products/category-1/item-6,/support/faq-2
/support/faq-2,/support/contact
/products/category-1/item-7,/support/faq-3
/products/category-2,/products/category-2/item-1
/products/category-2,/products/category-2/item-2
/products/category-2,/products/category-2/item-3
/products/category-2,/products/category-2/item-4
/products/category-2,/products/category-2/item-5
/products/category-2,/products/category-2/item-6
/products/category-2,/products/category-2/item-7
/products/category-2/item-1,/support/faq-4
/products/category-2/item-2,/support/faq-5
/products/category-2/item-3,/support/faq-6
/products/category-2/item-4,/support/faq-1
/products/category-2/item-5,/support/faq-2
/products/category-2/item-6,/support/faq-3
/products/category-2/item-7,/support/faq-4
/products/category-3,/products/category-3/item-1
/products/category-3,/products/category-3/item-2
/products/category-3,/products/category-3/item-3
/products/category-3,/products/category-3/item-4
/products/category-3,/products/category-3/item-5
/products/category-3,/products/category-3/item-6
/products/category-3,/products/category-3/item-7
/products/category-3/item-1,/support/faq-5
/products/category-3/item-2,/support/faq-6
/products/category-3/item-3,/support/faq-1
/products/category-3/item-4,/support/faq-2
/products/category-3/item-5,/support/faq-3
/products/category-3/item-6,/support/faq-4
/products/category-3/item-7,/support/faq-5
/products/category-4,/products/category-4/item-1
/products/category-4,/products/category-4/item-2
/products/category-4,/products/category-4/item-3
/products/category-4,/products/category-4/item-4
/products/category-4,/products/category-4/item-5
/products/category-4,/products/category-4/item-6
/products/category-4,/products/category-4/item-7
/products/category-4/item-1,/support/faq-6
/products/category-4/item-2,/support/faq-1
/products/category-4/item-3,/support/faq-2
/products/category-4/item-4,/support/faq-3
/products/category-4/item-5,/support/faq-4
/products/category-4/item-6,/support/faq-5
/products/category-4/item-7,/support/faq-6
/products/category-5,/products/category-5/item-1
/products/category-5,/products/category-5/item-2
/products/category-5,/products/category-5/item-3
/products/category-5,/products/category-5/item-4
/products/category-5,/products/category-5/item-5
/products/category-5,/products/category-5/item-6
/products/category-5,/products/category-5/item-7
/products/category-5/item-1,/support/faq-1
/products/category-5/item-2,/support/faq-2
/products/category-5/item-3,/support/faq-3
/products/category-5/item-4,/support/faq-4
/products/category-5/item-5,/support/faq-5
/products/category-5/item-6,/support/faq-6
/products/category-5/item-7,/support/faq-1
/products/category-6,/products/category-6/item-1
/products/category-6,/products/category-6/item-2
/products/category-6,/products/category-6/item-3
/products/category-6,/products/category-6/item-4
/products/category-6,/products/category-6/item-5
/products/category-6,/products/category-6/item-6
/products/category-6,/products/category-6/item-7
/products/category-6/item-1,/support/faq-2
/products/category-6/item-2,/support/faq-3
/products/category-6/item-3,/support/faq-4
/products/category-6/item-4,/support/faq-5
/products/category-6/item-5,/support/faq-6
/products/category-6/item-6,/support/faq-1
/products/category-6/item-7,/support/faq-2
/blog/post-1,/blog/post-2
/blog/post-1,/products/category-2
/blog/post-2,/blog/post-3
/blog/post-2,/products/category-3
/blog/post-3,/blog/post-4
/blog/post-3,/products/category-4
/blog/post-4,/blog/post-5
/blog/post-4,/products/category-5
/blog/post-5,/blog/post-6
/blog/post-5,/products/category-6
/blog/post-6,/blog/post-7
/blog/post-6,/products/category-1
/blog/post-7,/blog/post-8
/blog/post-7,/products/category-2
/blog/post-8,/blog/post-9
/blog/post-8,/products/category-3
/blog/post-9,/products/category-4
/about/team,/about/careers
/about/careers,/support/contact
