session_id,prefix_len,label,session_length_so_far,unique_nodes,unique_node_ratio,revisit_ratio,repeated_transition_ratio,backtrack_count,self_loop_ratio,mean_depth,leaf_visit_ratio,out_degree_mean,mean_hop_distance,far_jump_ratio,mean_delta_t,std_delta_t,burstiness,low_latency_ratio,category_switch_rate,transition_entropy,normalized_transition_entropy,category_entropy,normalized_category_entropy,node_entropy,normalized_node_entropy,navigation_entropy_score
bot_0000,3,bot,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,6.333333333333333,500.0,0.5,0.4032392555846331,0.12126524983291337,-0.537600731431747,1.0,1.0,1.0,1.0,1.584962500721156,1.0,1.584962500721156,1.0,0.9249999999999999
bot_0000,5,bot,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,5.4,749.5,0.75,0.5273688970647767,0.1513048543386086,-0.5541160858933025,1.0,1.0,2.0,1.0,2.321928094887362,1.0,2.321928094887362,1.0,0.9624999999999999
bot_0000,10,bot,10.0,10.0,1.0,0.0,0.0,0.0,0.0,1.4,0.0,6.2,888.1111111111111,0.8888888888888888,0.631485085319843,0.18476067167362997,-0.547291559948391,1.0,0.5555555555555556,3.169925001442312,1.0,1.7709505944546688,0.7627069065377662,3.321928094887362,1.0,0.8795656155233305
bot_0000,15,bot,15.0,15.0,1.0,0.0,0.0,0.0,0.0,1.6,0.0,5.133333333333334,713.8571428571429,0.7142857142857143,0.6610851767688274,0.1700928487203209,-0.5907186102033405,1.0,0.42857142857142855,3.8073549220576055,1.0000000000000004,1.822815600352516,0.7850439487623072,3.906890595608518,0.9999999999999998,0.8462609871905769
bot_0000,20,bot,20.0,20.0,1.0,0.0,0.0,0.0,0.0,1.7,0.0,4.3,526.2631578947369,0.5263157894736842,0.6489206981903131,0.15285383831956972,-0.6187111678928067,1.0,0.3157894736842105,4.247927513443583,0.9999999999999996,1.6783898247235196,0.7228431528173309,4.321928094887363,1.0,0.7912371039938062
bot_0001,3,bot,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,6.333333333333333,500.0,0.5,0.6835131578845761,0.12334048735022801,-0.6942680049134948,1.0,1.0,1.0,1.0,1.584962500721156,1.0,1.584962500721156,1.0,0.9249999999999999
bot_0001,5,bot,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,5.4,749.5,0.75,0.6392297137098696,0.09971841088352688,-0.7301071413141578,1.0,1.0,2.0,1.0,2.321928094887362,1.0,2.321928094887362,1.0,0.9624999999999999
bot_0001,10,bot,10.0,10.0,1.0,0.0,0.0,0.0,0.0,1.4,0.0,6.2,888.1111111111111,0.8888888888888888,0.5744648464031383,0.15503163589471858,-0.5749626224203822,1.0,0.5555555555555556,3.169925001442312,1.0,1.7709505944546688,0.7627069065377662,3.321928094887362,1.0,0.8795656155233305
bot_0001,15,bot,15.0,15.0,1.0,0.0,0.0,0.0,0.0,1.6,0.0,5.133333333333334,713.8571428571429,0.7142857142857143,0.5247244172968922,0.14543608580510078,-0.5659664061611622,1.0,0.42857142857142855,3.8073549220576055,1.0000000000000004,1.822815600352516,0.7850439487623072,3.906890595608518,0.9999999999999998,0.8462609871905769
bot_0001,20,bot,20.0,20.0,1.0,0.0,0.0,0.0,0.0,1.7,0.0,4.3,526.2631578947369,0.5263157894736842,0.5503564602607163,0.14976538711012355,-0.5721733647577606,1.0,0.3157894736842105,4.247927513443583,0.9999999999999996,1.6783898247235196,0.7228431528173309,4.321928094887363,1.0,0.7912371039938062
bot_0002,3,bot,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,6.333333333333333,500.0,0.5,0.8048750021052402,0.24182508087076826,-0.5379286104894458,0.5,1.0,1.0,1.0,1.584962500721156,1.0,1.584962500721156,1.0,0.9249999999999999
bot_0002,5,bot,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,5.4,749.5,0.75,0.6957357044493275,0.21659278590783548,-0.525186841807291,0.75,1.0,2.0,1.0,2.321928094887362,1.0,2.321928094887362,1.0,0.9624999999999999
bot_0002,10,bot,10.0,10.0,1.0,0.0,0.0,0.0,0.0,1.4,0.0,6.2,888.1111111111111,0.8888888888888888,0.5927110228292458,0.1958713458555341,-0.5032317392989297,0.8888888888888888,0.5555555555555556,3.169925001442312,1.0,1.7709505944546688,0.7627069065377662,3.321928094887362,1.0,0.8795656155233305
bot_0002,15,bot,15.0,15.0,1.0,0.0,0.0,0.0,0.0,1.6,0.0,5.133333333333334,713.8571428571429,0.7142857142857143,0.5686380901982375,0.17448759070921654,-0.5303954763179648,0.9285714285714286,0.42857142857142855,3.8073549220576055,1.0000000000000004,1.822815600352516,0.7850439487623072,3.906890595608518,0.9999999999999998,0.8462609871905769
