path,site_id,category,depth,out_degree,in_degree,pagerank,betweenness
/atlas_shop/,atlas_shop,home,0,5,5,0.09837877069244415,0.1396103896103896
/catalog,atlas_shop,listing,1,6,20,0.17229078182011182,0.5439393939393941
/catalog/water,atlas_shop,listing,2,5,2,0.050087652905417404,0.07896825396825398
/catalog/sensors,atlas_shop,listing,2,5,2,0.050087652905417404,0.09989177489177489
/catalog/kits,atlas_shop,listing,2,5,1,0.030929992038439474,0.11190476190476191
/catalog/field,atlas_shop,listing,2,4,1,0.030929992038439474,0.13636363636363635
/deals,atlas_shop,listing,1,4,3,0.06208054855412658,0.043109668109668105
/search,atlas_shop,utility,1,5,14,0.11268990662276036,0.18246753246753247
/about,atlas_shop,info,1,3,2,0.029579670404135176,0.05772005772005772
/contact,atlas_shop,info,2,2,1,0.014902431719172052,0.0
/cart,atlas_shop,cart,1,3,16,0.11850290316829508,0.0904040404040404
/p/aqua,atlas_shop,detail,2,3,2,0.0341940871383818,0.00487012987012987
/p/river,atlas_shop,detail,3,3,1,0.015036426271403874,0.000974025974025974
/p/filter,atlas_shop,detail,2,3,2,0.028228301443005074,0.002777777777777778
/p/flow,atlas_shop,detail,2,3,2,0.0341940871383818,0.00487012987012987
/p/node,atlas_shop,detail,3,3,1,0.015036426271403874,0.000974025974025974
/p/camera,atlas_shop,detail,3,3,1,0.015036426271403874,0.000974025974025974
/p/reservoir,atlas_shop,detail,3,3,1,0.011779758781257105,0.001948051948051948
/p/starter,atlas_shop,detail,2,3,2,0.024971633952858306,0.003751803751803752
/p/pro,atlas_shop,detail,3,3,1,0.011779758781257105,0.001948051948051948
/p/boots,atlas_shop,detail,3,3,1,0.013094263693962688,0.0025613275613275612
/p/pack,atlas_shop,detail,3,3,1,0.013094263693962688,0.0025613275613275612
/p/meter,atlas_shop,detail,3,3,1,0.013094263693962688,0.0025613275613275612
