path,site_id,category,depth,out_degree,in_degree,pagerank,betweenness
/deep_docs/,deep_docs,home,0,4,3,0.050159636169993,0.18888888888888888
/docs,deep_docs,listing,1,4,6,0.07758001051649369,0.36744444444444446
/docs/start,deep_docs,docs,2,3,4,0.060061838891588476,0.2273333333333333
/docs/start/overview,deep_docs,docs,3,3,2,0.03171158432249151,0.16625
/docs/start/overview/concepts,deep_docs,docs,4,2,2,0.0209988872829052,0.08361111111111111
/docs/start/overview/concepts/graph,deep_docs,docs,5,2,1,0.014693859940458277,0.05111111111111111
/docs/start/overview/concepts/graph/examples,deep_docs,docs,6,3,1,0.012014060084795455,0.045277777777777785
/docs/install,deep_docs,docs,2,3,5,0.07261380365443039,0.20383333333333334
/docs/install/windows,deep_docs,docs,3,2,1,0.02634333350097958,0.051250000000000004
/docs/install/windows/troubleshooting,deep_docs,docs,4,2,1,0.016965027563132985,0.03075
/docs/install/linux,deep_docs,docs,3,2,2,0.03514298002285616,0.0553888888888889
/docs/install/linux/containers,deep_docs,docs,4,2,1,0.02070481323344416,0.02038888888888889
/docs/advanced,deep_docs,docs,2,3,4,0.0742459638066503,0.18491666666666667
/docs/advanced/tuning,deep_docs,docs,3,2,3,0.043260884158304,0.07638888888888888
/docs/advanced/tuning/thresholds,deep_docs,docs,4,2,1,0.024154267295195053,0.01958333333333333
/docs/advanced/security,deep_docs,docs,3,2,4,0.05837134591527627,0.10819444444444444
/docs/advanced/security/audit,deep_docs,docs,4,2,1,0.03057601417419535,0.053888888888888896
/api,deep_docs,listing,1,3,3,0.05034927833718962,0.13875
/api/reference,deep_docs,docs,2,3,8,0.0880138411481245,0.17122222222222225
/api/reference/events,deep_docs,docs,3,2,1,0.030705570637304763,0.020694444444444446
/api/reference/models,deep_docs,docs,3,2,1,0.030705570637304763,0.01886111111111111
/api/examples,deep_docs,docs,2,2,1,0.020035282644115856,0.0175
/tutorials,deep_docs,listing,1,3,5,0.04813719671034045,0.14233333333333334
/tutorials/first,deep_docs,docs,2,2,1,0.019408317710493835,0.035416666666666666
/tutorials/hardening,deep_docs,docs,2,2,1,0.019408317710493835,0.015805555555555555
/search,deep_docs,utility,1,3,2,0.023638313931442567,0.05991666666666667
